Name,Frequency,Confidence,Sanskrit_Meaning,Name_Type,Source_Context,Part_Found,Page_Found,Quality_Score,Starting_Pattern
Charitable,401,0.8,Name/epithet requiring verification,proper_noun,ever be (hereafter). Similarly the time of Mahodaya is proclaimed to be a sacred period. 81-85. Char...,Part 8,Page 365,320.8,Cha
Cast,299,0.8,Name/epithet requiring verification,divine_epithet,"-born Lord, the creator of all the worlds. 79. This Tirtha Ma1,1ikan,ika consists of all Tirthas. Ca...",Part 5,Page 87,239.20000000000002,Cha
Capable,286,0.8,Name/epithet requiring verification,divine_epithet,tness person- ally the glory of the Tirtha. After coming here Moon-god per- formed the pilgrimage. C...,Part 7,Page 171,228.8,Cha
Carry,276,0.8,Name/epithet requiring verification,divine_epithet,"l become united with the Brihmaoa, as well as with the other ladies. Go quickly, 0 excellent king. C...",Part 4,Page 74,220.8,Cha
Castes,209,0.8,Name/epithet requiring verification,proper_noun,240. 'Devotion Explained 1032 241. Characteristics of a Good Sudra 1034 242. EighteenPrakrtis (Caste...,Part 18,Page 9,167.20000000000002,Cha
Candra,180,0.8,Name/epithet requiring verification,divine_epithet,"ive merits, they certainly enjoy various kinds of coveted lordly pleasures in the abodes of lndra, C...",Part 7,Page 243,144.0,Cha
Characteristics,174,0.8,Name/epithet requiring verification,divine_epithet,se mountains. They should ket .. p their own dt'itil'~ Ill Vlt'W. CHAPTER TWO HUNDRED SEVENTYfWO Cha...,Part 18,Page 427,139.20000000000002,Cha
Caitra,152,0.8,Name/epithet requiring verification,proper_noun,orshipped along with Sita. The annual festival shall be on the fourteenth day in the dark half of Ca...,Part 7,Page 227,121.60000000000001,Cha
Caturmasya,152,0.8,Name/epithet requiring verification,divine_epithet,"ng down to him, worship and making present. CHAPTER THIRTYNINE' Festivals to be Celebrated during Ca...",Part 5,Page 238,121.60000000000001,Cha
Camphor,135,0.8,Name/epithet requiring verification,divine_epithet,"the devotee should worship the Lord with fragrant flower1 -.>f the season, splendid clothes etc. Cam...",Part 12,Page 82,108.0,Cha
Carefully,115,0.8,Name/epithet requiring verification,divine_epithet,"ursing them isvara vanished. 87. After the Lord had gone, they realized that it was Lord Sankara. Ca...",Part 12,Page 97,92.0,Cha
Cakratirtha,90,0.8,Name/epithet requiring verification,divine_epithet,"he lord of the Setu. 51. Going along the western path, the devotee should take the holy bath in Cakr...",Part 8,Page 357,72.0,Cha
Characteristic,70,0.8,Name/epithet requiring verification,divine_epithet,"of 78 Cakrapu~lcari~ 131, 135 Cakratirtha7,SO, 134 Campaka49, 51, 63 Censured, gift by the 126 Chara...",Part 4,Page 238,56.0,Cha
Cakra,70,0.8,Name/epithet requiring verification,divine_epithet,re vanquished by the I. The deities in this Mihitmya always have the suffix Hari. VV 10-11 mention C...,Part 7,Page 185,56.0,Cha
Capital,61,0.8,Name/epithet requiring verification,divine_epithet,nd Varuf_la (chapter 12). 9. The origin of the lords of Gandhavati (Capital of Vayu) and Alaka (Capi...,Part 11,Page 460,48.800000000000004,Cha
Camatkarapura,54,0.8,Name/epithet requiring verification,sacred_place,"u, I may have to seek refuge in holy fire."" The Grdhra said: 205. I was a monkey in the city of Cama...",Part 18,Page 407,43.2,Cha
Chapters,47,0.8,Name/epithet requiring verification,divine_epithet,"ere unto Devas, that great Sakti which pervades the entire universe incarnates on the earth. 1,. Cha...",Part 17,Page 218,37.6,Cha
Camatkirapura,45,0.8,Name/epithet requiring verification,divine_epithet,"dly"". Sikambht1ri said: 42-43. 0 goddess, there are sixty-four groups of the Mothers settled in Cama...",Part 17,Page 282,36.0,Cha
Chastiser,34,0.8,Name/epithet requiring verification,divine_epithet,"the armies were being burned all round by the refulgence of the missile, the Slayer of Bala, the Cha...",Part 2,Page 182,27.200000000000003,Cha
Caturthi,28,0.8,Name/epithet requiring verification,proper_noun,the delighted (Kumara) installed him too. Hence he should be worshipped always particularly on the C...,Part 2,Page 298,22.400000000000002,Cha
Chaya,26,0.8,Name/epithet requiring verification,divine_epithet,"all sins. He shall go to the great region of Vi,9u. CHAPTER TWO HUNDRED SIXTYI'HREE Greatness of Cha...",Part 20,Page 257,20.8,Cha
CHAP,29,0.7,Name/epithet requiring verification,divine_epithet,"r. He who makes this juicy stuff, may wish for anything. I will grant that man all he wishes for. CH...",Part 6,Page 243,20.299999999999997,Cha
Catch,25,0.8,Name/epithet requiring verification,divine_epithet,"ife)."" 31-38. On hearing these words of Goddess Mahakali that king of Daityas blazed with fury: ""Cat...",Part 11,Page 223,20.0,Cha
Camel,23,0.8,Name/epithet requiring verification,divine_epithet,"thousand verses '187 topics 287 types of listening 289 Shnda.Amfpa Uddhava278,279,280,286 Up (Camel)...",Part 6,Page 315,18.400000000000002,Cha
Capricorn,30,0.6,Name/epithet requiring verification,proper_noun,y means of a thousand holy baths during the holy months of Migha when the Sun is in the Zodiac of Ca...,Part 8,Page 368,18.0,Cha
Caturdasi,22,0.8,Name/epithet requiring verification,divine_epithet,"e case of even learned men. 24. Hence I worship the Lord, the preceptor of the universe, on the Catu...",Part 9,Page 282,17.6,Cha
Candresvara,22,0.8,Name/epithet requiring verification,divine_epithet,Greatness of Ca1:ujisvara 742 341. Greatness of God Vighnarija of Asapura 742 342. Greatness of Cand...,Part 20,Page 13,17.6,Cha
Campaka,20,0.8,Name/epithet requiring verification,proper_noun,"aves of Bilva tree (he should worship her). White and red Karavira flowers, Kari:iikira, Kalhara, Ca...",Part 9,Page 119,16.0,Cha
Cara,20,0.8,Name/epithet requiring verification,proper_noun,took leave of Candrasena and returned to their respec- tive places. 80. The highly brilliant Sn--.Ca...,Part 9,Page 290,16.0,Cha
Camatkara,19,0.8,Name/epithet requiring verification,divine_epithet,"stroyer of an sins. The sages said: 10. 0 highly intelligent one, when the line of the king of Camat...",Part 17,Page 125,15.200000000000001,Cha
Candramas,17,0.8,Name/epithet requiring verification,divine_epithet,unctions shall attain the benefit of a hone-sacrifice. 12. Hence the sages frequent the Tirtha of Ca...,Part 20,Page 286,13.600000000000001,Cha
Caru,17,0.8,Name/epithet requiring verification,divine_epithet,18. After offering the oblations the excellent cooking should be conducted in that fire to prepare C...,Part 5,Page 224,13.600000000000001,Cha
Cakrapu,16,0.8,Name/epithet requiring verification,divine_epithet,a man obtains radiance in form by worshipping the great Lord Jyotiriipesvara on the banks of the Cak...,Part 11,Page 398,12.8,Cha
Chandas,15,0.8,Name/epithet requiring verification,divine_epithet,d the Sun-god for full hundred years. 9-12. I prayed to him by means of extremely pure Japas of Chan...,Part 2,Page 408,12.0,Cha
Carai,15,0.8,Name/epithet requiring verification,divine_epithet,"to it with mental concentration. It is destructive of all sins. Formerly Devas, Sages, Gandharvas, C...",Part 13,Page 68,12.0,Cha
CHAPl,15,0.8,Name/epithet requiring verification,divine_epithet,D.ii.29.1-10 CHAPl'Ek. TWENTYNINE The Lord Grants Boons to lndradyumna Jaimini said: 163 1-4. After ...,Part 5,Page 172,12.0,Cha
Cakratinha,14,0.8,Name/epithet requiring verification,divine_epithet,"s, one should take holy bath for the purification of his sins. 58-62. Then he should take bath in Ca...",Part 8,Page 64,11.200000000000001,Cha
Carhpaka,13,0.8,Name/epithet requiring verification,sacred_place,"such as lion, tiger, boar, elephant and buffalo. It abounded in trees like Tamala, Tila, Hintila, Ca...",Part 8,Page 98,10.4,Cha
Chastise,13,0.8,Name/epithet requiring verification,divine_epithet,"punishment to your noble- souled devotees. Hence we have sought refuge in you alone, 0 great Lord. C...",Part 7,Page 73,10.4,Cha
Caral,12,0.8,Name/epithet requiring verification,divine_epithet,"owed that divine river that had newly descended and attended upon her with prayers. 3-4. Siddhas, Ca...",Part 4,Page 195,9.600000000000001,Cha
Caitraratha,12,0.8,Name/epithet requiring verification,divine_epithet,"m were friendly and helpful to one another. The gardens and parks therein far sur- passed Nandana, C...",Part 4,Page 183,9.600000000000001,Cha
Cambay,12,0.8,Name/epithet requiring verification,divine_epithet,upport (Sircar: SGAMI eh. V) 3. This is an important temple in the temple complex around Chowk at Ca...,Part 2,Page 339,9.600000000000001,Cha
Candraya,12,0.8,Name/epithet requiring verification,divine_epithet,"Yaj,ias. If one takes in the Naivedya of any other deity he should perforn, the expiatory rile of Ca...",Part 6,Page 86,9.600000000000001,Cha
Caturyuga,11,0.8,Name/epithet requiring verification,divine_epithet,hcrc·<l. mc·n will nt·\·c.·r !o~c· tJu .. ir \q•alth . . \ftt'r tht· h1psc· of a qu.utct of Yu~as (C...,Part 19,Page 130,8.8,Cha
Candrabhigi,11,0.8,Name/epithet requiring verification,divine_epithet,"ersonified forms. 18-20. 0 beautiful lady, the rivers were: Gangi, Yamuni, the divine Sarasvati, Can...",Part 20,Page 303,8.8,Cha
Caturyugas,10,0.8,Name/epithet requiring verification,divine_epithet,"yday (of God Brahmi). 20. 0 sage, the day of the Creator of the universe consits of one thousand Cat...",Part 7,Page 328,8.0,Cha
Candrahari,10,0.8,Name/epithet requiring verification,divine_epithet,"sima Krfl)a. 140 Agastya. 142. 143. 144 Agnihocra. 184 Amrt,aku948. 216 annual festival of Lord Cand...",Part 7,Page 367,8.0,Cha
Cancer,10,0.8,Name/epithet requiring verification,divine_epithet,"y in the bright half of the month of A~iC:,ha, on the day of the transit of the Sun to the Zodiac Ca...",Part 5,Page 221,8.0,Cha
Cage,10,0.8,Name/epithet requiring verification,proper_noun,a at the end of worship. 22. Thus the devotee should pe-.10101 this Vnta (named) Milltipailjara ('Ca...,Part 5,Page 256,8.0,Cha
Cacii,9,0.8,Name/epithet requiring verification,divine_epithet,"the Gotra of the Brahmar:ias is Kusa; Visvimitra, Devarita and Audala (are the Pravaras). Goddess Ca...",Part 9,Page 239,7.2,Cha
Candresa,9,0.8,Name/epithet requiring verification,divine_epithet,"s a lake created there by the Moon-god, 0 goddess. It is sixteen Dhanus in extent (east-west) from C...",Part 20,Page 382,7.2,Cha
Candrasena,9,0.8,Name/epithet requiring verification,sacred_place,named Candrasena who ap- peared like a second lndra in the form of a man. 13. The excellent king Can...,Part 9,Page 285,7.2,Cha
Candrahasa,9,0.8,Name/epithet requiring verification,divine_epithet,Lord in the form of greatest bliss (Atman) abiding in the body itself. Undoubtedly one attains in Ca...,Part 15,Page 48,7.2,Cha
Camatkira,8,0.8,Name/epithet requiring verification,divine_epithet,"so tell me about the goddess. The people said: 6. 0 Brihmal)a, there is Lord Siirya installed in Cam...",Part 17,Page 254,6.4,Cha
Cakrin,8,0.8,Name/epithet requiring verification,divine_epithet,"ing, there shall be loss of our penance thereby, this is mentioned by the Self-born Lord. 31. A Cakr...",Part 18,Page 98,6.4,Cha
Camu,8,0.8,Name/epithet requiring verification,divine_epithet,"n and eulogized. Th, Devas said: 22-25. [Prayer of Kumiri by Devas:] Be victorious, 0 goddess, Camu~...",Part 20,Page 231,6.4,Cha
Candrabhaga,8,0.8,Name/epithet requiring verification,divine_epithet,"ives of sages; (Rivers like) Ganga, Sarasvati, Reva, Yamuna. Tapati (Tapti in north Maharashtra), Ca...",Part 7,Page 277,6.4,Cha
Carar,8,0.8,Name/epithet requiring verification,divine_epithet,mbhu; Manus; great sages; (twelve) J\dityas; (eight) Vasus; (eleven) Rudras; Siddhas; Gandharvas; Ca...,Part 7,Page 277,6.4,Cha
Cakrahari,8,0.8,Name/epithet requiring verification,divine_epithet,"d take bath in Brahmakur,cja. 59. After taking the holy bath in Cakratirtha, visiting first Lord Cak...",Part 7,Page 232,6.4,Cha
Caturmukha,6,1.0,Name/epithet requiring verification,divine_epithet,ine of the deity named Kalarhbesvara is situated within two Dhanus to the north-west thereof (i.e. C...,Part 20,Page 326,6.0,Cha
Calendar,10,0.6,Name/epithet requiring verification,proper_noun,"Visa,jani (the creative one) is based on the I. This shows that the author accepted Pauri;aiminta Ca...",Part 19,Page 122,6.0,Cha
Camac,10,0.6,Name/epithet requiring verification,proper_noun,"007 120 Royapettah lfoJh Road, Mylaporc, Madras 600 004 16 St. Mark's Road. Bangalore 560 OCH 8 Cama...",Part 9,Page 7,6.0,Cha
Cataka,7,0.8,Name/epithet requiring verification,divine_epithet,"hellish condition, 0 holy lord ; 1 have not attained heavenly worlds. Three times I was born as a Ca...",Part 4,Page 103,5.6000000000000005,Cha
CaJJ,7,0.8,Name/epithet requiring verification,divine_epithet,"d be killed by you after coming out of the body ( of Parvati). 53. 0 goddess, since you will kill Ca...",Part 2,Page 203,5.6000000000000005,Cha
Cakradhara,7,0.8,Name/epithet requiring verification,divine_epithet,"e by your side with my hand holding the Cakra raised up. 39. It was thus, 0 my beloved, that Lord Ca...",Part 19,Page 331,5.6000000000000005,Cha
Charit,7,0.8,Name/epithet requiring verification,divine_epithet,gods) performed on these four Yugadi days ('first days of the Yugas') yield ever.Jasting benefits. C...,Part 2,Page 55,5.6000000000000005,Cha
Chatraji,6,0.8,Name/epithet requiring verification,divine_epithet,"III.ii.39.184-198 227 Arhbari~a and the third, Yauvanisva. Goddess Chatraji, the second Se~ala and g...",Part 9,Page 236,4.800000000000001,Cha
Carus,6,0.8,Name/epithet requiring verification,divine_epithet,"performed. For each deity three hundred Homas should be offered with sacri- ficial twigs, ghee and C...",Part 5,Page 256,4.800000000000001,Cha
Candrayar,6,0.8,Name/epithet requiring verification,divine_epithet,performed the Japa of the eternal Lord. He worshipped Mahadeva and observed the vows like Krcchra Ca...,Part 15,Page 37,4.800000000000001,Cha
Catussamudra,6,0.8,Name/epithet requiring verification,divine_epithet,o the north thereof is Nivasesa who bestows the merit of residence in Kasi. 168. There is a well Cat...,Part 11,Page 435,4.800000000000001,Cha
Candrahasya,8,0.6,Name/epithet requiring verification,proper_noun,re deluded and wicked in conduct. Their life is aimless. If anyone adopts the life of a recluse in C...,Part 15,Page 213,4.8,Cha
Cakras,7,0.6,Name/epithet requiring verification,proper_noun,"bnvery, 29.S bride, JOO fn. Buddha, 286, 288, 327 Buddhi, 310 Budha, 332 bulbous roots, 306 Cakras, ...",Part 7,Page 371,4.2,Cha
Caturvidya,7,0.6,Name/epithet requiring verification,divine_relation,"for grazing not far from DharmiraQya. 301-305. Many of those Brihmar,a boys became cowherds. The Cat...",Part 9,Page 243,4.2,Cha
Candriilgada,5,0.8,Name/epithet requiring verification,divine_epithet,"le things brought from the abode of Taksaka, which were rare and inaccessible to human . beings, Can...",Part 9,Page 322,4.0,Cha
Caturda,5,0.8,Name/epithet requiring verification,proper_noun,you I will attain the highest region of Siva. It is by means of this worship of Sankara on every Cat...,Part 9,Page 284,4.0,Cha
Caturbhuja,5,0.8,Name/epithet requiring verification,divine_epithet,"ons'), Trivikrama, Trilokesa ('Lord of the three worlds'), Cu.rap~ ('}l!ving discus in the hand'), C...",Part 13,Page 172,4.0,Cha
Carmamur,5,0.8,Name/epithet requiring verification,divine_epithet,) when kings perform special adoration of the goddesss of Suras. 17. The king made a clay icon of Ca...,Part 16,Page 243,4.0,Cha
Camasodbheda,5,0.8,Name/epithet requiring verification,divine_epithet,"ilvara said: 1-3. Thereafter, 0 great goddess, a pilgrim should go to the excellent ~etra called Cam...",Part 20,Page 259,4.0,Cha
