Name,Frequency,Confidence,Sanskrit_Meaning,Name_Type,Source_Context,Part_Found,Page_Found,Quality_Score,Starting_Pattern
Siva,2855,1.0,Name/epithet requiring verification,proper_noun,"e of PAdo'3, 282, 299 Skanda PMrilf)a wonhip of Sankara on every Caturdaii day, 275 worship of Siva,...",Part 9,Page 423,2855.0,S
Skanda,1999,1.0,"Name of the god of war, son of Śiva and Pārvatī",divine_name,"Virabhadra, !91, g92 wife of the ruler of Vidarbha, 2s, wonhip at the time of PAdo'3, 282, 299 Skand...",Part 9,Page 423,1999.0,S
Sraddha,724,0.8,Name/epithet requiring verification,proper_noun,"sin."" 138-139. After having worshipped thus. 0 eminent Brihmar,as, the devotee should perform the Sr...",Part 8,Page 370,579.2,S
South,620,0.8,Name/epithet requiring verification,divine_epithet,lean and decorated with festoons. Lord Dharme~vara was installed in the East; Gai:ianayaka in the So...,Part 9,Page 94,496.0,S
Sweet,597,0.8,Name/epithet requiring verification,divine_epithet,Verily he is the ocean of the nectar of beauty of form. His eyes are large and tremulously roving. S...,Part 9,Page 305,477.6,S
State,536,0.8,Name/epithet requiring verification,proper_noun,"Engaged in worshipping the pair of sandals of Rima, both of them looked after the affairs of the Sta...",Part 9,Page 166,428.8,S
Supreme,505,0.8,Name/epithet requiring verification,divine_epithet,en perform the Nyasa rite of the Matrkis (syllables of the alphabet) duly after meditating on the Su...,Part 9,Page 297,404.0,S
Splendour,496,0.8,Name/epithet requiring verification,divine_epithet,f incompr-ehensible nature. 28. If either of us finds out the root or the top of this Self• born Spl...,Part 3,Page 137,396.8,S
Sound,488,0.8,Name/epithet requiring verification,divine_epithet,"Yajfta. You are the lord of Y ajfta, greater than the greatest. You are the great ~abda Brahman (Sou...",Part 5,Page 145,390.40000000000003,S
Single,486,0.8,Name/epithet requiring verification,divine_epithet,ll bring about the welfare of the entire family. 25. The Self.-born Lord (Brahma) worshipped the Sin...,Part 9,Page 95,388.8,S
Shrine,466,0.8,Name/epithet requiring verification,sacred_place,t sins. It is 1. A famous sacred place in North Kamataka kn()w~ for the famous ~iva (Mahibalehan) Sh...,Part 9,Page 264,372.8,S
Suta,460,0.8,Name/epithet requiring verification,divine_epithet,"est place of the Moon-crested Lord. CHAPTER TWENTYIWO The Efficacy of Listening to the Pura1_1,a Sut...",Part 9,Page 401,368.0,S
Struck,453,0.8,Name/epithet requiring verification,divine_epithet,due to that blow and so sat down; his elephant Airivata was struck on his forehead with the fist. St...,Part 13,Page 42,362.40000000000003,S
Siddhi,437,0.8,Name/epithet requiring verification,divine_epithet,"a, Soha, Hithaiija, Kapacjavi1.1aka, Vrajanhori, Vano(li, Phi1_1i, Vagola, Dn1a, Thalaji, Cirar,a, S...",Part 9,Page 226,349.6,S
Still,436,0.8,Name/epithet requiring verification,divine_relation,dom by his enemies. He has been imprisoned along with his wife and kept under their control. 126. St...,Part 9,Page 319,348.8,S
Sriddha,419,0.8,Name/epithet requiring verification,proper_noun,take his bath in any of them. After taking the holy bath in all the Tirthas thus he shall perform Sr...,Part 8,Page 358,335.20000000000005,S
Sinful,413,0.8,Name/epithet requiring verification,divine_epithet,"quarter crores of Tirthas. 10-12. If life is given up there, one rejoices in the world of Siva. Sinf...",Part 20,Page 213,330.40000000000003,S
Slayer,407,0.8,Name/epithet requiring verification,divine_epithet,erity. Great sages say that the six-syllabled Mantra of Siva is of divine nature. 9. Just as the Sla...,Part 9,Page 253,325.6,S
Siddhas,367,0.8,Name/epithet requiring verification,divine_epithet,"on named Kurilbhakari:ia and the pious Vibhi~ai:ia performed penance here. These and other Devas, Si...",Part 9,Page 266,293.6,S
Speech,355,0.8,Name/epithet requiring verification,divine_epithet,ce at the time of Pradofa. All the Devas then attend upon him (and eulogize). 77. The Goddess of Spe...,Part 9,Page 296,284.0,S
Speak,342,0.8,Name/epithet requiring verification,proper_noun,"ifying the faults of others. 0 monkey, always perform the worship of Siva, Vi!jQU and other Devas. S...",Part 8,Page 310,273.6,S
Soma,338,0.8,Name/epithet requiring verification,divine_epithet,"three-eyed Rimanitha. Salute to you, the destroyer of Dakta's sacrifice. 0 Siva, do protect me. Soma...",Part 8,Page 339,270.40000000000003,S
Sole,292,0.8,Name/epithet requiring verification,divine_epithet,"tearing the Daitya; obeisance to you, 0 Lion, the overlord of all the Devas; obeisance to you, 0 Sol...",Part 5,Page 168,233.60000000000002,S
Subjects,272,0.8,Name/epithet requiring verification,divine_epithet,"slow movement of the wind, the garment was moving slightly. In the midst there was the Lord of the S...",Part 5,Page 157,217.60000000000002,S
Similarly,271,0.8,Name/epithet requiring verification,proper_noun,in honey. Acamana should be offered again and the holy ablution be conducted by means of Mantras. Si...,Part 9,Page 301,216.8,S
Special,264,0.8,Name/epithet requiring verification,divine_epithet,"78 CHAPTER SEVEN Special Efficacy of the Gift of Lamps Nlrada said: ShndaPurll)a 1. 0 Lord, I am one...",Part 6,Page 89,211.20000000000002,S
Southern,258,0.8,Name/epithet requiring verification,sacred_place,"great concentration of mind. There is a great mountain in the form of a Setu, 0 Bribma9a, in the Sou...",Part 8,Page 83,206.4,S
Sleep,233,0.8,Name/epithet requiring verification,divine_epithet,203 35. The Procedure of Preserving the Chariot 207 36. The Festival of the Lord's Retiring to Sleep...,Part 5,Page 9,186.4,S
Siddhis,232,0.8,Name/epithet requiring verification,divine_epithet,"ar,ya is said to be that which accords Siddhis (accomplishments) to Siddhas (or those desirous of Si...",Part 9,Page 71,185.60000000000002,S
Sixty,231,0.8,Name/epithet requiring verification,divine_epithet,hipped. Once they were counted as a hundred Parardhas (Parardha=one followed by seventeen zeros). Si...,Part 11,Page 241,184.8,S
Slcanda,230,0.8,Name/epithet requiring verification,divine_epithet,280 Slcanda Pura'}a on hearing from her son the favour of the Lord of the Daughter of the Mountain. ...,Part 9,Page 289,184.0,S
Sita,227,0.8,Name/epithet requiring verification,divine_epithet,"merit. On hearing it from his preceptor, he began the Yajiia on a large scale. On that occasion, Sit...",Part 9,Page 194,181.60000000000002,S
Storehouse,220,0.8,Name/epithet requiring verification,divine_epithet,"27-28. As time passed on, 0 Goddess (Gaur'i), the water began to dry up and evaporate slowly. The St...",Part 19,Page 222,176.0,S
Svarga,215,0.8,Name/epithet requiring verification,divine_epithet,l worship Dev as and us (Pitrs) with the remnants (of Vi~r:iu worship). 24. Then you will attain Sva...,Part 7,Page 258,172.0,S
Songs,211,0.8,Name/epithet requiring verification,divine_relation,"rogramme must be staged along with drums, Mrdal\gas and Par,avas. It yields merit unto men. 35. Song...",Part 6,Page 246,168.8,S
Choose,209,0.8,Name/epithet requiring verification,divine_epithet,"afflicted. Matangi said: 128. 0 illustrious Brahma9as, I am pleased with these hymns of yours. Choos...",Part 9,Page 128,167.20000000000002,S
Souls,205,0.8,Name/epithet requiring verification,divine_epithet,"have asked about the decision in regard to the superiority of Prir,a in all the nvas (Individual Sou...",Part 7,Page 105,164.0,S
Spiritual,202,0.8,Name/epithet requiring verification,divine_epithet,He was adorned with a crown etc. which had bril- liance of a million gems. CHAPTER NINE Different Sp...,Part 9,Page 76,161.60000000000002,S
Solar,191,0.8,Name/epithet requiring verification,divine_epithet,"usly trembling with fear. 42-47a. ""Oh! Oh! Do not persist in a sinful deed, you the glory of t!te So...",Part 9,Page 261,152.8,S
Sinless,190,0.8,Name/epithet requiring verification,divine_epithet,"), Sankara ('Bene- factor'), Sra,,a ('Creator•), Sar-vavldyelvara ('Lord of all lores'), A.nagha ('S...",Part 3,Page 59,152.0,S
Support,190,0.8,Name/epithet requiring verification,divine_epithet,"Sapra, Atidu, Jivanta (Living), favana (Enlivener), Arilati (Destroyer of enemies), Bl&illtiiraJa (S...",Part 20,Page 277,152.0,S
Similar,185,0.8,Name/epithet requiring verification,divine_epithet,yed Lord was propitiated by that noble-souled one who became sensible after losing his wings. 12. Si...,Part 16,Page 335,148.0,S
Small,180,0.8,Name/epithet requiring verification,divine_epithet,"nsecrated and put in gold pots, to the Lord. They must be mixed with curds, ghee and sugar candy. Sm...",Part 5,Page 249,144.0,S
Scriptures,176,0.8,Name/epithet requiring verification,divine_epithet,reside now at the advent of the Kali Age which is bereft of (i.e. has no regard for) the Vedas and S...,Part 6,Page 14,140.8,S
Sword,176,0.8,Name/epithet requiring verification,proper_noun,"Do protect (us) always with everything belonging to you. 45. After duly worshipping it thus, the Swo...",Part 19,Page 305,140.8,S
Stand,175,0.8,Name/epithet requiring verification,divine_epithet,ched by gods? Why de you incur this sin? Tell me the truth. Come out of this Ku1JtJa immediately. St...,Part 2,Page 552,140.0,S
Soon,174,0.8,Name/epithet requiring verification,divine_epithet,ear and granting of the boon and the Pinaka bow. The Blue-throated Lord appeared before him. 44. Soo...,Part 9,Page 356,139.20000000000002,S
Suddenly,174,0.8,Name/epithet requiring verification,divine_epithet,divine unguents. They were seated in a divine aerial chariot. They were served by divine damsels. Su...,Part 7,Page 95,139.20000000000002,S
Sixteen,171,0.8,Name/epithet requiring verification,divine_epithet,"Arghya along with Rohit;ti."" After duly worshipping Moon-god, the devotee should bow down to him. Si...",Part 7,Page 174,136.8,S
Shrines,166,0.8,Name/epithet requiring verification,sacred_place,o com- pose poems comes up naturally. CHAPTER TWENTYFIVE The Greatness of .. ~ukresvara and Other Sh...,Part 12,Page 89,132.8,S
Skull,160,0.8,Name/epithet requiring verification,divine_epithet,"otect my nose. 15. May the Lord whose glory has been sung by the Sruti, protect my ears; may the Sku...",Part 9,Page 343,128.0,S
Siidra,159,0.8,Name/epithet requiring verification,proper_noun,"he holy plunge in Dhanus.koti. If a Brihmar,a bows down to a Linga or to Vi,-:iu worshipped by a Sii...",Part 8,Page 251,127.2,S
Split,155,0.8,Name/epithet requiring verification,divine_epithet,"ess, but they fought with self- control. 11. He (the Lord) moved down the armies of the Danavas. Spl...",Part 18,Page 355,124.0,S
Source,153,0.8,Name/epithet requiring verification,proper_noun,The Li:riga of Rik$asas is made of iron. The· name (they repeat) is Bhiltabhavyabhavodbhava ('the So...,Part 2,Page 121,122.4,S
Show,142,0.8,Name/epithet requiring verification,divine_epithet,"y with this son of mine. Tl,e ki11g said: I shall come with you in order to visit Lord Ianirdana. Sh...",Part 4,Page 64,113.60000000000001,S
