Name,Frequency,Confidence,Sanskrit_Meaning,Name_Type,Source_Context,Part_Found,Page_Found,Quality_Score,Starting_Pattern
Sankara,751,0.8,Name/epithet requiring verification,proper_noun,"of the ruler of Vidarbha, 2s, wonhip at the time of PAdo'3, 282, 299 Skanda PMrilf)a wonhip of Sanka...",Part 9,Page 423,600.8000000000001,Sa
Sacrifice,561,0.8,Name/epithet requiring verification,divine_epithet,ful benefit of Rijasiiyas and Asvamedhas. CHAPTER ONE HUNDRED NINETYNINE Destruction of Dak~a' s Sac...,Part 20,Page 132,448.8,Sa
Sakra,541,0.8,Name/epithet requiring verification,divine_epithet,All of them then began to argue. Some knew that the Sun-god was the greatest (god). Some said that S...,Part 7,Page 106,432.8,Sa
Sarasvati,442,0.8,"Related to: Reed bed, birthplace of Kārttikeya",divine_epithet,me. He earned the reputation of being a Saradeya ( 'child of Sarada' or 'one pertaining to Goddess S...,Part 9,Page 386,353.6,Sa
Sacrifices,379,0.8,Name/epithet requiring verification,proper_noun,e of sacrifice. I am to ~e praised and worshipped in all the sacrifices by excellent Brihmar:ias. Sa...,Part 20,Page 358,303.2,Sa
Save,345,0.8,Name/epithet requiring verification,divine_epithet,"me, 0 lord of the worlds. Protect me, 0 Sankara, the eternal one. Save me, 0 Rudra, 0 Viriipik~a. Sa...",Part 9,Page 358,276.0,Sa
Sakti,322,0.8,Name/epithet requiring verification,proper_noun,when seen. 18. In the north of the holy spot occupying the ground extending to that much is the Sakt...,Part 9,Page 145,257.6,Sa
Sacrificial,304,0.8,Name/epithet requiring verification,divine_epithet,"ng them fighting thus, the Lord spoke to the Brahmai:ias: ""Even at the very outskirts of the Sala (S...",Part 12,Page 98,243.20000000000002,Sa
Satisfaction,265,0.8,Name/epithet requiring verification,divine_epithet,"). You are Vibhivari (night, excel- lent in lustre). You are Svahi. Your are Svadhi. You are Tufp (S...",Part 17,Page 301,212.0,Sa
Sambhu,227,0.8,Name/epithet requiring verification,divine_relation,ru the woman became successful in making her mind pure. She frequently meditated on the person of Sa...,Part 9,Page 409,181.60000000000002,Sa
Sarilbhu,222,0.8,Name/epithet requiring verification,divine_epithet,"illuminated by opposite quali- ties, 0 glorious Mahesa, direct your kind glance towards me. 108. 0 S...",Part 9,Page 409,177.60000000000002,Sa
Sarhbhu,200,0.8,Name/epithet requiring verification,divine_epithet,"sages, you are all contented and blessed, be- cause you take in the fresh nectar of the stories of S...",Part 9,Page 411,160.0,Sa
Sandal,135,0.8,Name/epithet requiring verification,proper_noun,"e- ginning. 44 4 7. On the twelfth day, the devotee should worship die Yajftavarlha made of gold. Sa...",Part 5,Page 201,108.0,Sa
Sand,122,0.8,Name/epithet requiring verification,divine_epithet,"ter thinking thus mentally, Hanuman, the son of Wind-god, the powerful monkey, caught hold of that S...",Part 8,Page 313,97.60000000000001,Sa
Sati,112,0.8,Name/epithet requiring verification,divine_epithet,ing her the Bull silently bore the goddess on his back. 40. Crores of groups of goblins followed Sat...,Part 7,Page 41,89.60000000000001,Sa
Sattva,111,0.8,Name/epithet requiring verification,divine_epithet,"to those (of Maya). 52. Helpless by itself, a creature chased by Vasana, attains godhood through Sat...",Part 9,Page 333,88.80000000000001,Sa
Savitri,105,0.8,Name/epithet requiring verification,divine_epithet,"Sida narrated: 7-12. Formerly, the self-born, four-faced Lord Brahma was present in his assembly. Sa...",Part 8,Page 43,84.0,Sa
Sadasiva,100,0.8,Name/epithet requiring verification,divine_epithet,"he Lord of Gauri, having the lustre of ten million suns, the three-eyed, five-faced, blue-throated S...",Part 9,Page 410,80.0,Sa
Salute,97,0.8,Name/epithet requiring verification,divine_epithet,"worldly affairs. Obeisance to you, the son of the Wind-god, who consider Brahmai:ias as gods. 6. Sal...",Part 9,Page 213,77.60000000000001,Sa
Sankha,89,0.8,Name/epithet requiring verification,divine_epithet,"erful Visvedevas, the other lords of spirits capable of annihilating the worlds, Mahikila, Nandin, S...",Part 9,Page 365,71.2,Sa
Saktis,84,0.8,Name/epithet requiring verification,proper_noun,"n special signs, should be worshipped along with the following: Repeated first parts, five Miirti Sa...",Part 9,Page 300,67.2,Sa
Sanatkumara,80,0.8,Name/epithet requiring verification,divine_epithet,is the most excellent of all pious practices unto all living beings. It is enjoined by the Vedas. Sa...,Part 9,Page 367,64.0,Sa
Salt,74,0.8,Name/epithet requiring verification,proper_noun,"39, 1046, 1047 Saligrama worship 1043 Salihotras 465 Sallaka 966 Salmali 1109 Salmalikii~ 985 Salt 7...",Part 18,Page 479,59.2,Sa
Sanaka,71,0.8,Name/epithet requiring verification,divine_epithet,"ev as and got satisfaction. These disciples, I and other sages, royal sages, the celestial saints Sa...",Part 9,Page 268,56.800000000000004,Sa
Sandhya,70,0.8,Name/epithet requiring verification,proper_noun,ater with purified intellect. He should be delighted in his mind. If any man does not perform his Sa...,Part 8,Page 372,56.0,Sa
Sandals,67,0.8,Name/epithet requiring verification,divine_epithet,"arayal')a (th<"" primordial Narayar:ia) visualized the future task, stepped on the (Vehicle-like?) Sa...",Part 19,Page 308,53.6,Sa
Satakratu,66,0.8,Name/epithet requiring verification,divine_epithet,"of Death, as though he would swallow him and licking the mouth (with the tongue) frequently, Lord Sa...",Part 20,Page 286,52.800000000000004,Sa
Samba,63,0.8,Name/epithet requiring verification,proper_noun,"VI.I.!08.1-10 681 to Samba. Therefore, formerly Vifl)U became famous by the name Apara. A devotee sh...",Part 20,Page 320,50.400000000000006,Sa
Saci,62,0.8,Name/epithet requiring verification,divine_epithet,"dharmi. He could get no sleep, no happiness, no tranquillity. 35-36. Then the lord and consort of Sa...",Part 9,Page 25,49.6,Sa
Santi,60,0.8,Name/epithet requiring verification,divine_epithet,Yauvanasva (are the Pravaras). Santa is the deity here. She is the giver of peace in the rites of Sa...,Part 9,Page 242,48.0,Sa
Sagara,57,0.8,Name/epithet requiring verification,divine_epithet,5. It was in this Manvantara that this ocean was dug up in all the four directions by the sons of Sa...,Part 20,Page 23,45.6,Sa
Sandhyi,55,0.8,Name/epithet requiring verification,divine_epithet,restraint on his speech. He should take to the routine vows and observances. After performing the Sa...,Part 9,Page 297,44.0,Sa
Sanctify,52,0.8,Name/epithet requiring verification,divine_epithet,"his entire universe consisting of mobile and immobile beings has you alone for its refuge, 0 Lord. S...",Part 5,Page 241,41.6,Sa
Saiva,52,0.8,Name/epithet requiring verification,proper_noun,the performance of penance by Plrvati. The procedure of Siva-worship as detailed here is based on Sa...,Part 3,Page 163,41.6,Sa
Salva,52,0.8,Name/epithet requiring verification,divine_relation,y shall be cJean and free from impurities. For the populari1.&tion of the cult and conventions of Sa...,Part 3,Page 56,41.6,Sa
Saturn,49,0.8,Name/epithet requiring verification,sacred_place,arls) and the name is Loka• trayalrita ('the Support of the three worlds'). Sani (i.e. the planet Sa...,Part 2,Page 121,39.2,Sa
Sarayii,48,0.8,"Related to: Reed bed, birthplace of Kārttikeya",divine_epithet,"lk garments and different kinds of fine fabrics to Lord Ramanatha. Ganga, the meritorious Yamuna, Sa...",Part 8,Page 325,38.400000000000006,Sa
Sattra,48,0.8,Name/epithet requiring verification,divine_epithet,"The sages bowed to him and eulogized him. The sages said: 6b-9. 0 holy lord, at the time of the Satt...",Part 9,Page 151,38.400000000000006,Sa
Saunaka,47,0.8,Name/epithet requiring verification,divine_epithet,"the race of Kama (god of Love). Thanks to th~ greatness of the Tinha. Srf Suta said: 60. Thus, 0 Sau...",Part 4,Page 139,37.6,Sa
Sayujya,47,0.8,Name/epithet requiring verification,divine_epithet,"iva is pleased with him. 204. He who reads or listens to this excellent glory four times, attains Sa...",Part 8,Page 374,37.6,Sa
Satyaloka,47,0.8,Name/epithet requiring verification,divine_epithet,"then, he gave up his life and went to the firmament above. 22. Then the Devas who had come from Saty...",Part 9,Page 92,37.6,Sa
Sanctifier,45,0.8,Name/epithet requiring verification,divine_epithet,"ot-warriors), (33) Riijnlpati1 (Lord of kings?), (34) Svar1.1aretas (Gold-semcned), (35) Pu1an (Sanc...",Part 2,Page 410,36.0,Sa
Sani,41,0.8,Name/epithet requiring verification,divine_epithet,nt-head of this god is a substitution for the original head which fell down due to the evil eye of S...,Part 2,Page 233,32.800000000000004,Sa
Satya,40,0.8,Name/epithet requiring verification,divine_epithet,blished by the Dev as for the sake of general protection. Only from then has that city been named 'S...,Part 9,Page 93,32.0,Sa
Sadhyas,40,0.8,Name/epithet requiring verification,proper_noun,"a and others, Sanaka and other noble-souled ones attend and worship seated there. So also sages, Sad...",Part 9,Page 266,32.0,Sa
Sands,40,0.8,Name/epithet requiring verification,divine_epithet,"118 Sanandana 118 Sanitana 118 Sanatkumira 234, 255 Sar:ujilya 222, 225 Sands, 10tden 85, 90 Sands, ...",Part 5,Page 276,32.0,Sa
Sangama,36,0.8,Name/epithet requiring verification,proper_noun,"tres). This holy spot is the bestower of all desired objects. 126. Thus, this sacred Mahi-Sagara-San...",Part 2,Page 578,28.8,Sa
Saman,36,0.8,Name/epithet requiring verification,divine_epithet,"All the four Vedas stand in the proper order at the side of the Lord. They are called ~k. Yajus, Sam...",Part 6,Page 42,28.8,Sa
Sapphire,36,0.8,Name/epithet requiring verification,divine_epithet,came delighted. They spoke to Lord Brahma thus: The Devas said: 51-54. How did that Lord of Blue Sap...,Part 5,Page 142,28.8,Sa
Sauri,34,0.8,Name/epithet requiring verification,divine_epithet,na (getting up rev- erentially) rite in accordance with the injunctions in his branch of Veda. The S...,Part 9,Page 48,27.200000000000003,Sa
Saura,33,0.8,Name/epithet requiring verification,divine_epithet,i. (Thus) he became the Lord of the worlds. J 16. In the northern quarter there is a Ttrtha named Sa...,Part 3,Page 44,26.400000000000002,Sa
Savitr,33,0.8,Name/epithet requiring verification,divine_epithet,"d of the chiefs of Devas, obeisance to you; to the lord in the form of consciousness. Obeisance to S...",Part 7,Page 211,26.400000000000002,Sa
Saturday,33,0.8,Name/epithet requiring verification,proper_noun,"odied ones. Fortunately this cowherd boy worshipped, albeit without the requisite Mantra, Siva on Sa...",Part 9,Page 290,26.400000000000002,Sa
Saptami,31,0.8,Name/epithet requiring verification,divine_epithet,"a rite 982, 988 Saptagodivari 435 "" Sivitri 746, 749, 750, 788, 789, 799, 800, Saptami 671, 956 Sapt...",Part 18,Page 480,24.8,Sa
Satyavati,31,0.8,Name/epithet requiring verification,divine_epithet,"t excellent one- among those c-onversant with Purai:ias, bowed down his head to Vyasa, the son of Sa...",Part 19,Page 14,24.8,Sa
Saligrama,30,0.8,Name/epithet requiring verification,proper_noun,"5 Sakuna 161 Sakuni 300 Salagra.ma 1085, 1086, 1105 Salakarman 548 Saligrarna 839, 1046, 1047 Saligr...",Part 18,Page 479,24.0,Sa
Sattvika,29,0.8,Name/epithet requiring verification,divine_epithet,"When meditated, seen or remembered, the Lord of the universe is always a bestower of salvation on Sa...",Part 5,Page 239,23.200000000000003,Sa
Sanaiscara,29,0.8,Name/epithet requiring verification,divine_epithet,"at goddess, the pilgrim should pro- ceed to the Liriga well installed by Rahu to the north-west of S...",Part 19,Page 264,23.200000000000003,Sa
