Name,Frequency,Confidence,Sanskrit_Meaning,Name_Type,Source_Context,Part_Found,Page_Found,Quality_Score,Starting_Pattern
Secret,598,0.8,Name/epithet requiring verification,divine_epithet,va 11rthas 6~. l\1amfestation of the Bull-emhlemc·d Lord 6~. The Story of Jyt•sthcsa frt I I le Secr...,Part 11,Page 8,478.40000000000003,Se
Seek,530,0.8,Name/epithet requiring verification,divine_epithet,"helpless. 17. Oo there, 0 Brihmai,as; stay there with mental and bodily purity and concentration. Se...",Part 5,Page 264,424.0,Se
Seat,526,0.8,Name/epithet requiring verification,divine_epithet,"the story of Trivi~tapa, in the manner in which it has been narrated by the Lord. 4. That Pi~ha (Sea...",Part 11,Page 264,420.8,Se
Setu,480,0.8,Name/epithet requiring verification,divine_epithet,"358 Slcanda PuriltJ,Q the Setu, the bestower of salvation. He should then properly meditate on Righa...",Part 8,Page 369,384.0,Se
Service,460,0.8,Name/epithet requiring verification,proper_noun,d the cow Kamadhenu who came there in- stantaneously to the sacred Dharmara1_1ya. CHAPTER TEN The Se...,Part 9,Page 86,368.0,Se
Sent,428,0.8,Name/epithet requiring verification,divine_epithet,"ted in their minds. On getting (an opportunity for) Kavya, they were all the more delighted. 87. Sen...",Part 18,Page 171,342.40000000000003,Se
Seventh,390,0.8,Name/epithet requiring verification,sacred_place,a protects the city of isa in the north-east. He is to be worshipped in the north of Yama Tirtha. Se...,Part 11,Page 66,312.0,Se
Sexual,390,0.8,Name/epithet requiring verification,divine_epithet,"arrows by Brahma and was sent off. The fish-emblemed, mind-born god of Love, accompanied by Rati (Se...",Part 13,Page 52,312.0,Se
Season,374,0.8,Name/epithet requiring verification,divine_epithet,and for the good of Mrga too you go to the penance grove of Rudra accompanied by Vasanta (Spring Sea...,Part 7,Page 44,299.2,Se
Semen,326,0.8,Name/epithet requiring verification,divine_epithet,"e bowed down to the Lord, he (Siva) spoke to him thus: 76. ""Since you dropped out like the Sukra (Se...",Part 10,Page 160,260.8,Se
Serve,294,0.8,Name/epithet requiring verification,divine_epithet,"me now, 0 Sankara. 25. Then Lord {Sankara} laughed and replied to Girija: M ahiideva said: 26. Serve...",Part 1,Page 187,235.20000000000002,Se
