Name,Frequency,Confidence,Sanskrit_Meaning,Name_Type,Source_Context,Part_Found,Page_Found,Quality_Score,Starting_Pattern
Siva,2855,1.0,Name/epithet requiring verification,proper_noun,"e of PAdo'3, 282, 299 Skanda PMrilf)a wonhip of Sankara on every Caturdaii day, 275 worship of Siva,...",Part 9,Page 423,2855.0,S
Skanda,1999,1.0,"Name of the god of war, son of Śiva and Pārvatī",divine_name,"Virabhadra, !91, g92 wife of the ruler of Vidarbha, 2s, wonhip at the time of PAdo'3, 282, 299 Skand...",Part 9,Page 423,1999.0,S
Sankara,751,0.8,Name/epithet requiring verification,proper_noun,"of the ruler of Vidarbha, 2s, wonhip at the time of PAdo'3, 282, 299 Skanda PMrilf)a wonhip of Sanka...",Part 9,Page 423,600.8000000000001,Sa
Sraddha,724,0.8,Name/epithet requiring verification,proper_noun,"sin."" 138-139. After having worshipped thus. 0 eminent Brihmar,as, the devotee should perform the Sr...",Part 8,Page 370,579.2,S
Sakra,541,0.8,Name/epithet requiring verification,divine_epithet,All of them then began to argue. Some knew that the Sun-god was the greatest (god). Some said that S...,Part 7,Page 106,432.8,Sa
Setu,480,0.8,Name/epithet requiring verification,divine_epithet,"358 Slcanda PuriltJ,Q the Setu, the bestower of salvation. He should then properly meditate on Righa...",Part 8,Page 369,384.0,Se
Suta,460,0.8,Name/epithet requiring verification,divine_epithet,"est place of the Moon-crested Lord. CHAPTER TWENTYIWO The Efficacy of Listening to the Pura1_1,a Sut...",Part 9,Page 401,368.0,S
Sarasvati,442,0.8,"Related to: Reed bed, birthplace of Kārttikeya",divine_epithet,me. He earned the reputation of being a Saradeya ( 'child of Sarada' or 'one pertaining to Goddess S...,Part 9,Page 386,353.6,Sa
Siddhi,437,0.8,Name/epithet requiring verification,divine_epithet,"a, Soha, Hithaiija, Kapacjavi1.1aka, Vrajanhori, Vano(li, Phi1_1i, Vagola, Dn1a, Thalaji, Cirar,a, S...",Part 9,Page 226,349.6,S
Sriddha,419,0.8,Name/epithet requiring verification,proper_noun,take his bath in any of them. After taking the holy bath in all the Tirthas thus he shall perform Sr...,Part 8,Page 358,335.20000000000005,S
Sacrifices,379,0.8,Name/epithet requiring verification,proper_noun,e of sacrifice. I am to ~e praised and worshipped in all the sacrifices by excellent Brihmar:ias. Sa...,Part 20,Page 358,303.2,Sa
Siddhas,367,0.8,Name/epithet requiring verification,divine_epithet,"on named Kurilbhakari:ia and the pious Vibhi~ai:ia performed penance here. These and other Devas, Si...",Part 9,Page 266,293.6,S
Soma,338,0.8,Name/epithet requiring verification,divine_epithet,"three-eyed Rimanitha. Salute to you, the destroyer of Dakta's sacrifice. 0 Siva, do protect me. Soma...",Part 8,Page 339,270.40000000000003,S
Sakti,322,0.8,Name/epithet requiring verification,proper_noun,when seen. 18. In the north of the holy spot occupying the ground extending to that much is the Sakt...,Part 9,Page 145,257.6,Sa
Siddhis,232,0.8,Name/epithet requiring verification,divine_epithet,"ar,ya is said to be that which accords Siddhis (accomplishments) to Siddhas (or those desirous of Si...",Part 9,Page 71,185.6,S
Slcanda,230,0.8,Name/epithet requiring verification,divine_epithet,280 Slcanda Pura'}a on hearing from her son the favour of the Lord of the Daughter of the Mountain. ...,Part 9,Page 289,184.0,S
Sambhu,227,0.8,Name/epithet requiring verification,divine_relation,ru the woman became successful in making her mind pure. She frequently meditated on the person of Sa...,Part 9,Page 409,181.6,Sa
Sita,227,0.8,Name/epithet requiring verification,divine_epithet,"merit. On hearing it from his preceptor, he began the Yajiia on a large scale. On that occasion, Sit...",Part 9,Page 194,181.6,S
Sarilbhu,222,0.8,Name/epithet requiring verification,divine_epithet,"illuminated by opposite quali- ties, 0 glorious Mahesa, direct your kind glance towards me. 108. 0 S...",Part 9,Page 409,177.60000000000002,Sa
Svarga,215,0.8,Name/epithet requiring verification,divine_epithet,l worship Dev as and us (Pitrs) with the remnants (of Vi~r:iu worship). 24. Then you will attain Sva...,Part 7,Page 258,172.0,S
Sarhbhu,200,0.8,Name/epithet requiring verification,divine_epithet,"sages, you are all contented and blessed, be- cause you take in the fresh nectar of the stories of S...",Part 9,Page 411,160.0,Sa
Candra,180,0.8,Name/epithet requiring verification,divine_epithet,"ive merits, they certainly enjoy various kinds of coveted lordly pleasures in the abodes of lndra, C...",Part 7,Page 243,144.0,Cha
Siidra,159,0.8,Name/epithet requiring verification,proper_noun,"he holy plunge in Dhanus.koti. If a Brihmar,a bows down to a Linga or to Vi,-:iu worshipped by a Sii...",Part 8,Page 251,127.2,S
Caitra,152,0.8,Name/epithet requiring verification,proper_noun,orshipped along with Sita. The annual festival shall be on the fourteenth day in the dark half of Ca...,Part 7,Page 227,121.6,Cha
Caturmasya,152,0.8,Name/epithet requiring verification,divine_epithet,"ng down to him, worship and making present. CHAPTER THIRTYNINE' Festivals to be Celebrated during Ca...",Part 5,Page 238,121.6,Cha
Siita,133,0.8,Name/epithet requiring verification,divine_relation,"e beloved wife of Ramacandra. I worship always with my heart Sita whose limbs are blameless."" Sri Si...",Part 8,Page 318,106.4,S
Smrtis,131,0.8,Name/epithet requiring verification,proper_noun,"i, (4) Apnuvana and (5) Aurva. The Brihmal)as born of this Gotra do regularly follow the Vedas and S...",Part 9,Page 80,104.8,S
Sudra,126,0.8,Name/epithet requiring verification,proper_noun,"30 I Lil'lga installed by Rima, 301 Lil'lga made of sand, 298 Lil'lga or Vi,i,u worshipped by a Sudr...",Part 8,Page 382,100.8,S
Scion,124,0.8,Name/epithet requiring verification,divine_epithet,"a burden unto the earth, 0 great king, 0 Lord, 0 lover of Sita. I am unable to bear this grief, 0 Sc...",Part 8,Page 309,99.2,S
Slowly,124,0.8,Name/epithet requiring verification,divine_epithet,"a himself."" 50. On being told thus, he became greatly agitated. He wiped his face with his hand. Slo...",Part 2,Page 237,99.2,S
Sand,122,0.8,Name/epithet requiring verification,divine_epithet,"ter thinking thus mentally, Hanuman, the son of Wind-god, the powerful monkey, caught hold of that S...",Part 8,Page 313,97.6,Sa
Shanda,122,0.8,Name/epithet requiring verification,divine_epithet,"570 Shanda Purii,1)4 4. 0 goddess, by bathing in the waters of Jahnavi on the Full-Moon day in the m...",Part 20,Page 209,97.6,Sha
Suns,118,0.8,Name/epithet requiring verification,divine_epithet,dy was that of the Daughter of the Mountain. The Trident- bearing Lord had the lustre of a crore of ...,Part 8,Page 194,94.4,S
Carefully,115,0.8,Name/epithet requiring verification,divine_epithet,"ursing them isvara vanished. 87. After the Lord had gone, they realized that it was Lord Sankara. Ca...",Part 12,Page 97,92.0,Cha
Seasons,112,0.8,Name/epithet requiring verification,divine_relation,orship Linga of the nature of seven (v. 1 all the) Lokas. The name is Bahuriipa ('Multi-formed')· Se...,Part 2,Page 123,89.60000000000001,Se
Sati,112,0.8,Name/epithet requiring verification,divine_epithet,ing her the Bull silently bore the goddess on his back. 40. Crores of groups of goblins followed Sat...,Part 7,Page 41,89.60000000000001,Sa
Sunday,111,0.8,Name/epithet requiring verification,divine_epithet,Rites for Special Attainments Nandikesvara said: 1. If anyone worships the Lord of So1;1adri on a Su...,Part 3,Page 124,88.80000000000001,S
Sattva,111,0.8,Name/epithet requiring verification,divine_epithet,"to those (of Maya). 52. Helpless by itself, a creature chased by Vasana, attains godhood through Sat...",Part 9,Page 333,88.80000000000001,Sa
Seems,110,0.8,Name/epithet requiring verification,divine_epithet,ious activities of merciful nature. 49. Some of them became afraid of (the goddess) for their l. See...,Part 19,Page 384,88.0,Se
Sukra,109,0.8,Name/epithet requiring verification,divine_epithet,seeing this all the Ga-:ias became bewildered and fright- ened. They reported all the activities of ...,Part 6,Page 152,87.2,S
Sivitri,107,0.8,Name/epithet requiring verification,divine_epithet,"ijayi. 42. 0 goddess of Suras, you are resorted to by Brahma, Vi,r,u, Mahe§a and others. You are Siv...",Part 9,Page 122,85.60000000000001,S
Savitri,105,0.8,Name/epithet requiring verification,divine_epithet,"Sida narrated: 7-12. Formerly, the self-born, four-faced Lord Brahma was present in his assembly. Sa...",Part 8,Page 43,84.0,Sa
Sipra,103,0.8,Name/epithet requiring verification,divine_epithet,"u, Kr~i:ia. Vei:iT. Yamunll, Sarasvati, Godavari, Vipisa, Narmada, Tamasli, Mahi, Kaveri. Sarayu, Si...",Part 6,Page 77,82.4,S
Chowries,100,0.8,Name/epithet requiring verification,divine_epithet,"s, divine garlands, divine scents, excellent incenses etc. There should be sweet songs and hymns. Ch...",Part 5,Page 253,80.0,S
Sadasiva,100,0.8,Name/epithet requiring verification,divine_epithet,"he Lord of Gauri, having the lustre of ten million suns, the three-eyed, five-faced, blue-throated S...",Part 9,Page 410,80.0,Sa
Sruti,97,0.8,Name/epithet requiring verification,divine_epithet,ha (the Lord of the universe) protect my nose. 15. May the Lord whose glory has been sung by the Sru...,Part 9,Page 343,77.60000000000001,S
Somesvara,97,0.8,Name/epithet requiring verification,divine_epithet,"this river. Formerly, some sages came to the holy region of Prabhisa with a desire to view Lord Some...",Part 20,Page 234,77.60000000000001,S
Salute,97,0.8,Name/epithet requiring verification,divine_epithet,"worldly affairs. Obeisance to you, the son of the Wind-god, who consider Brahmai:ias as gods. 6. Sal...",Part 9,Page 213,77.60000000000001,Sa
Siddhesvara,94,0.8,Name/epithet requiring verification,sacred_place,ent shrine of Gandharvesvara situated within a dis- tance of five Dhanus to the north thereof (i.e. ...,Part 20,Page 310,75.2,S
Sveta,92,0.8,Name/epithet requiring verification,divine_epithet,"Lord Sankara, she went back to Amarivati, the beautiful city of lndra. The demoness (who harassed Sv...",Part 8,Page 272,73.60000000000001,S
Cakratirtha,90,0.8,Name/epithet requiring verification,divine_epithet,"he lord of the Setu. 51. Going along the western path, the devotee should take the holy bath in Cakr...",Part 8,Page 357,72.0,Cha
Sankha,89,0.8,Name/epithet requiring verification,divine_epithet,"erful Visvedevas, the other lords of spirits capable of annihilating the worlds, Mahikila, Nandin, S...",Part 9,Page 365,71.2,Sa
Subtle,87,0.8,Name/epithet requiring verification,divine_epithet,"bestows conjugal bliss unto women) 97!. Svargani:t,irei,iki (The ladder unto heaven) 974. Suqmi (Sub...",Part 10,Page 311,69.60000000000001,S
