Name,Frequency,Confidence_Score,Meaning,Type,Score
Siva,2855,1.0,Name/epithet requiring verification,proper_noun,2855.0
Sage,3056,0.8,Name/epithet requiring verification,divine_epithet,2444.8
Sages,2537,0.8,Name/epithet requiring verification,divine_epithet,2029.6000000000001
Skanda,1999,1.0,"Name of the god of war, son of Śiva and Pārvatī",divine_name,1999.0
Sun,1634,0.8,Name/epithet requiring verification,divine_epithet,1307.2
Salvation,1516,0.8,Name/epithet requiring verification,divine_epithet,1212.8
Suras,1453,0.8,Name/epithet requiring verification,divine_epithet,1162.4
Serpents,1198,0.8,Name/epithet requiring verification,divine_epithet,958.4000000000001
Since,1132,0.8,Name/epithet requiring verification,divine_relation,905.6
splendid,1266,0.7,Name/epithet requiring verification,proper_noun,886.1999999999999
sense,1170,0.7,Name/epithet requiring verification,divine_epithet,819.0
Sacred,1015,0.8,Name/epithet requiring verification,divine_epithet,812.0
Sri,1009,0.8,Name/epithet requiring verification,divine_epithet,807.2
sons,1144,0.7,Name/epithet requiring verification,divine_epithet,800.8
Stay,989,0.8,Name/epithet requiring verification,divine_epithet,791.2
Seeing,982,0.8,Name/epithet requiring verification,sacred_place,785.6
Cause,932,0.8,Name/epithet requiring verification,divine_epithet,745.6
sake,1061,0.7,Name/epithet requiring verification,proper_noun,742.6999999999999
Sankara,751,0.8,Name/epithet requiring verification,proper_noun,600.8000000000001
Soul,741,0.8,Name/epithet requiring verification,divine_epithet,592.8000000000001
Sraddha,724,0.8,Name/epithet requiring verification,proper_noun,579.2
Second,690,0.8,Name/epithet requiring verification,divine_epithet,552.0
child,774,0.7,Name/epithet requiring verification,divine_epithet,541.8
Chariot,677,0.8,Name/epithet requiring verification,divine_epithet,541.6
Chief,672,0.8,Name/epithet requiring verification,divine_epithet,537.6
Son,653,0.8,Name/epithet requiring verification,divine_epithet,522.4
seeds,734,0.7,Name/epithet requiring verification,proper_noun,513.8
case,729,0.7,Name/epithet requiring verification,divine_epithet,510.29999999999995
Serpent,630,0.8,Name/epithet requiring verification,divine_epithet,504.0
South,620,0.8,Name/epithet requiring verification,divine_epithet,496.0
cannot,690,0.7,Name/epithet requiring verification,divine_epithet,482.99999999999994
Secret,598,0.8,Name/epithet requiring verification,divine_epithet,478.40000000000003
Sweet,597,0.8,Name/epithet requiring verification,divine_epithet,477.6
Sacrifice,561,0.8,Name/epithet requiring verification,divine_epithet,448.8
Sakra,541,0.8,Name/epithet requiring verification,divine_epithet,432.8
State,536,0.8,Name/epithet requiring verification,proper_noun,428.8
Seek,530,0.8,Name/epithet requiring verification,divine_epithet,424.0
Seat,526,0.8,Name/epithet requiring verification,divine_epithet,420.8
Supreme,505,0.8,Name/epithet requiring verification,divine_epithet,404.0
stood,575,0.7,Name/epithet requiring verification,divine_epithet,402.5
Splendour,496,0.8,Name/epithet requiring verification,divine_epithet,396.8
Sound,488,0.8,Name/epithet requiring verification,divine_epithet,390.40000000000003
Single,486,0.8,Name/epithet requiring verification,divine_epithet,388.8
Setu,480,0.8,Name/epithet requiring verification,divine_epithet,384.0
Shrine,466,0.8,Name/epithet requiring verification,sacred_place,372.8
Suta,460,0.8,Name/epithet requiring verification,divine_epithet,368.0
Service,460,0.8,Name/epithet requiring verification,proper_noun,368.0
Struck,453,0.8,Name/epithet requiring verification,divine_epithet,362.40000000000003
servants,512,0.7,Name/epithet requiring verification,divine_epithet,358.4
Sarasvati,442,0.8,"Related to: Reed bed, birthplace of Kārttikeya",divine_epithet,353.6
Siddhi,437,0.8,Name/epithet requiring verification,divine_epithet,349.6
Still,436,0.8,Name/epithet requiring verification,divine_relation,348.8
side,490,0.7,Name/epithet requiring verification,divine_epithet,343.0
Sent,428,0.8,Name/epithet requiring verification,divine_epithet,342.40000000000003
Sriddha,419,0.8,Name/epithet requiring verification,proper_noun,335.20000000000005
children,476,0.7,Name/epithet requiring verification,sacred_place,333.2
Sinful,413,0.8,Name/epithet requiring verification,divine_epithet,330.40000000000003
Slayer,407,0.8,Name/epithet requiring verification,divine_epithet,325.6
severe,460,0.7,Name/epithet requiring verification,divine_epithet,322.0
Charitable,401,0.8,Name/epithet requiring verification,proper_noun,320.8
Sexual,390,0.8,Name/epithet requiring verification,divine_epithet,312.0
Seventh,390,0.8,Name/epithet requiring verification,sacred_place,312.0
Saying,389,0.8,Name/epithet requiring verification,divine_epithet,311.20000000000005
Sacrifices,379,0.8,Name/epithet requiring verification,proper_noun,303.2
Seated,378,0.8,Name/epithet requiring verification,divine_epithet,302.40000000000003
Season,374,0.8,Name/epithet requiring verification,divine_epithet,299.2
Siddhas,367,0.8,Name/epithet requiring verification,divine_epithet,293.6
Speech,355,0.8,Name/epithet requiring verification,divine_epithet,284.0
Chiefs,352,0.8,Name/epithet requiring verification,divine_epithet,281.6
slaughter,397,0.7,Name/epithet requiring verification,sacred_place,277.9
Save,345,0.8,Name/epithet requiring verification,divine_epithet,276.0
Speak,342,0.8,Name/epithet requiring verification,proper_noun,273.6
chaste,390,0.7,Name/epithet requiring verification,proper_noun,273.0
chest,390,0.7,Name/epithet requiring verification,proper_noun,273.0
Soma,338,0.8,Name/epithet requiring verification,divine_epithet,270.40000000000003
Semen,326,0.8,Name/epithet requiring verification,divine_epithet,260.8
Sakti,322,0.8,Name/epithet requiring verification,proper_noun,257.6
strength,366,0.7,Name/epithet requiring verification,divine_epithet,256.2
Stationed,319,0.8,Name/epithet requiring verification,proper_noun,255.20000000000002
Sin,319,0.8,Name/epithet requiring verification,divine_epithet,255.20000000000002
causes,349,0.7,Name/epithet requiring verification,proper_noun,244.29999999999998
Sacrificial,304,0.8,Name/epithet requiring verification,divine_epithet,243.20000000000002
Cast,299,0.8,Name/epithet requiring verification,divine_epithet,239.20000000000002
Serve,294,0.8,Name/epithet requiring verification,divine_epithet,235.20000000000002
sees,336,0.7,Name/epithet requiring verification,sacred_place,235.2
Sole,292,0.8,Name/epithet requiring verification,divine_epithet,233.60000000000002
Capable,286,0.8,Name/epithet requiring verification,divine_epithet,228.8
Separation,280,0.8,Name/epithet requiring verification,divine_epithet,224.0
Carry,276,0.8,Name/epithet requiring verification,divine_epithet,220.8
Subjects,272,0.8,Name/epithet requiring verification,divine_epithet,217.60000000000002
Similarly,271,0.8,Name/epithet requiring verification,proper_noun,216.8
