Name,Song_Number_X,Song_URL,Context,Meaning,Category,Confidence_Score
Saravanabhava,6,https://kaumaram.com/thiru/nnt0006_u.html,f DEvayAnai* with a beautiful smile and lovely teeth looking like pearls!saththis saravaNa: You are SaravaNabhava holding the powerful spear called SakthivEl!muththikkoru viththuk gurupara: You are th,saththis saravaNa: You are SaravaNabhava holding the powerful spear called SakthivEl,primary_divine_name,0.70
Saravana,7,https://kaumaram.com/thiru/nnt0007_u.html,"ld of that Lord SivA, You stood in a majestic posture worshipped by Lord SivA Himself! You are Lord SaravaNA, seated in Thirupparang KundRam, Oh Great One! Thiru Arunagirinathar's Thiruppugazh - 7 aru","You are Lord SaravaNA, seated in Thirupparang KundRam, Oh Great One",primary_divine_name,0.90
Siva,7,https://kaumaram.com/thiru/nnt0007_u.html,"votee, MANicka VAsagar under the holy wild-lime (Kurunthai) tree (in ThirupperunthuRai); He is Lord SivA.thiruk kuzhanthaiyum ena avar vazhi padu kurukkaLin thiRam ena varu periyava thirupparangiri th","votee, MANicka VAsagar under the holy wild-lime (Kurunthai) tree (in ThirupperunthuRai); He is Lord ...",secondary_divine_name,0.70
Saravanabava,7,https://kaumaram.com/thiru/nnt0007_u.html,"of RigvEdA was expounded by You to the seven great sages (headed by Vasishtar), Oh Renowned One! Oh SaravaNabavA! Oh GuhA! Oh Handsome Lord with six comforting and blissful faces!"" - so praising You,i","of RigvEdA was expounded by You to the seven great sages (headed by Vasishtar), Oh Renowned One! Oh ...",primary_divine_name,0.80
Sivakko,10,https://kaumaram.com/thiru/nnt0010_u.html,. adutheerAthiRaRka rungkuzhal umaiyavaL aruLuRu     puzhaikkai thaNkada kayamuka mikavuLa          sivakko zhunthana kaNapathi yudanvarum ...... iLaiyOnEsinaththo dunjaman uthaipada niRuviya     para,adutheerAthiRaRka rungkuzhal umaiyavaL aruLuRu     puzhaikkai thaNkada kayamuka mikavuLa          si...,secondary_divine_name,0.50
Sivak,10,https://kaumaram.com/thiru/nnt0010_u.html,"mbs, Oh Valorous One!thiRal karum kuzhal umaiyavaL aruL uRu puzhaikkai thaN kada kaya muka mika uLa sivak kozhunthu a(n)na kaNapathiyudan varum iLaiyOnE: Goddess UmA, the deity with brightness and bla",thiRal karum kuzhal umaiyavaL aruL uRu puzhaikkai thaN kada kaya muka mika uLa sivak kozhunthu a(n)n...,secondary_divine_name,0.70
Sivaibalasendhilang,13,https://kaumaram.com/thiru/nnt0013_u.html,kaNdukoN danbutR ...... tRiduvEnOthandhiyin kombaip ...... puNarvOnE     sankaran pangiR ...... sivaibAlAsendhilang kaNdik ...... kadhirvElA     thenparang kundriR ...... perumALE.......... Meaning ..,sivaibAlAsendhilang kaNdik,secondary_divine_name,0.50
Sivaibala,13,https://kaumaram.com/thiru/nnt0013_u.html,"ayAnai, the beautiful damsel like a creeper, reared by IndrA's elephant, Airavadham.sankaran pangiR sivaibAlA: You are the son of PArvathi, who is concorporate on a part of SivA.chendhilang kaNdik kad","sankaran pangiR sivaibAlA: You are the son of PArvathi, who is concorporate on a part of SivA",secondary_divine_name,0.50
Saravanapava,19,https://kaumaram.com/thiru/nnt0019_u.html,"nephew of that (Rama,) Lord VishNu!thidaththu ethirnthidum asurarkaL podipada ayil kodum padai vidu saravaNapava thiRaR gukan guruparanena varumoru murukOnE: The demons who confronted with determinati",thidaththu ethirnthidum asurarkaL podipada ayil kodum padai vidu saravaNapava thiRaR gukan guruparan...,primary_divine_name,0.80
Saranena,22,https://kaumaram.com/thiru/nnt0022_u.html,"paduvEnO: when will I be granted Your vision (to accomplish all the above)?kondhavizh charaN saraN saraNena: Saying that Your holy feet, immersed in bunches of flowers, are the ultimate refuge,kumbidu","kondhavizh charaN saraN saraNena: Saying that Your holy feet, immersed in bunches of flowers, are th...",divine_epithet,0.40
