Name/Word,Frequency,Confidence_Score,Script Type,Found Form,Language,Monier Williams Meaning,Etymology,Page#,Part#,Context/Line#,Proper Noun/Epithet/Place,Notes
Sins,4036,0.8,roman,Sins,Mixed,Name/epithet requiring verification,Unknown,Page 325,Part 8,"rom all sins. He attains Sayujya with Hari. Sri Sura said: CHAPTER FORTYEIGHT Cessation of Great Sins Incurred by King Sankara 1-5. With reference to (Lord) Ramanitha, 0 excellent sages, I shall rec",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
Sage,3056,0.8,roman,Sage,Mixed,Name/epithet requiring verification,Unknown,Page 370,Part 9,"concealed from all Ii ving beings. 72. After saying this, holy Lord Rudra vanished there itself. Sage Sanatkumira too went to the region of Brahma. 73. Your intellect has become free from impurities",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
Siva,2855,1.0,roman,Siva,Mixed,Name/epithet requiring verification,Unknown,Page 423,Part 9,"e of PAdo'3, 282, 299 Skanda PMrilf)a wonhip of Sankara on every Caturdaii day, 275 worship of Siva, 271, !O I worship with faith, !162 writing on the forehead, 525 Yama, !i92 Yogic practices, 27",proper_noun,"Pattern: sa, Important: True, Confidence: 1.0"
Sages,2537,0.8,roman,Sages,Mixed,Name/epithet requiring verification,Unknown,Page 284,Part 9,", such as horse-sacrifice etc. I will be duly offering water libations to the Manes, Devas and the Sages; be propitiating excellent Brihma1_1as with monetary gifts and be worshipping Sankara, ·the Lor...",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
Seen,2454,0.8,roman,Seen,Mixed,Name/epithet requiring verification,Unknown,Page 423,Part 11,"hereof the great well bestows Sarasvatapada (the position of a devotee of Goddess Sarasvati). 8. Seen in the north-east of the holy spot, it dispels the bondage of a Pasu (individual soul). Behind it,",divine_epithet,"Pattern: se, Important: False, Confidence: 0.8"
Skanda,1999,1.0,roman,Skanda,Mixed,"Name of the god of war, son of Śiva and Pārvatī","from √skand ""to leap""",Page 423,Part 9,"Virabhadra, !91, g92 wife of the ruler of Vidarbha, 2s, wonhip at the time of PAdo'3, 282, 299 Skanda PMrilf)a wonhip of Sankara on every Caturdaii day, 275 worship of Siva, 271, !O I worship with",divine_name,"Pattern: sa, Important: True, Confidence: 1.0"
Seven,1760,0.8,roman,Seven,Mixed,Name/epithet requiring verification,Unknown,Page 48,Part 7,"y air brightening the ten quarters and reached the abode of Himavin. The Mountain welcomed all the Seven Sages, the most excellent ones among the knowers of Brahman. He duly worshipped all of them. Wh...",sacred_place,"Pattern: se, Important: False, Confidence: 0.8"
spot,1706,0.7,roman,spot,Mixed,Name/epithet requiring verification,Unknown,Page 176,Part 9,"• Kasi, the Trident-bearing Lord, and Bhairava accord salvation, so also the most excellent holy spot Dharmirai:iya. 43-4 7. Thereupon Rima, the wielder of a great bow, became extremely glad and star",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.7"
Sun,1634,0.8,roman,Sun,Mixed,Name/epithet requiring verification,Unknown,Page 370,Part 9,immediately cast off the state of Brahmarik~asa. 76. He shone with a brilliance like that of the Sun adorned by a halo of excessive refulgence. His form and features were divine. He shone remarkably,divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
Salvation,1516,0.8,roman,Salvation,Mixed,Name/epithet requiring verification,Unknown,Page 9,Part 5,ing the Chariot 207 36. The Festival of the Lord's Retiring to Sleep 209 37. King Sveta Attains Salvation 214 38. The Great Efficacy of Nirmalya etc. 219 39. Festival to be Celebrated during Caturmasy...,divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
Suras,1453,0.8,roman,Suras,Mixed,Name/epithet requiring verification,Unknown,Page 365,Part 9,"d and the Three- eyed Lord of Devas was seated in their middle. Purandara, the excellent one among Suras, came there along with Devas. So also did Agni, Varu1_1a, Vayu and Yama, the son of Vivasvin, C...",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
splendid,1266,0.7,roman,splendid,Mixed,Name/epithet requiring verification,Unknown,Page 381,Part 9,"requested thus by all of her brothers and kinsmen, the excellent sage consented and stayed in the splendid apartment. 81. That chaste lady, devoid of impurities, worshipped Giriji and Siva along the l...",proper_noun,"Pattern: sa, Important: False, Confidence: 0.7"
Serpents,1198,0.8,roman,Serpents,Mixed,Name/epithet requiring verification,Unknown,Page 378,Part 9,four arms. He is clad in the hide of a lordly elephant. He is seated on a throne set with jewels. Serpents constitute his various ornaments. 44b-5 I. (Dhyana or the form of the Goddess for Meditation)...,divine_epithet,"Pattern: se, Important: False, Confidence: 0.8"
Same,1196,0.8,roman,Same,Mixed,Name/epithet requiring verification,Unknown,Page 31,Part 18,"the Yajna pavilion the Four-faced Lord stood immediately with face turned down due to shame. 30. Same was the plight of Sarilbhu, Sakra, Vasudeva and all other Devas who happened to be in that Yajria",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
Self,1188,0.8,roman,Self,Mixed,Name/epithet requiring verification,Unknown,Page 95,Part 9,"(offered to Gajanana), he (the Lord) will bring about the welfare of the entire family. 25. The Self.-born Lord (Brahma) worshipped the Single-tusked Ekadanta, Pivara (the stout one), the great lord",divine_epithet,"Pattern: se, Important: False, Confidence: 0.8"
sense,1170,0.7,roman,sense,Mixed,Name/epithet requiring verification,Unknown,Page 374,Part 9,"he faced the fire and sang thus with palms joined in reverence: Sabari said: 43. 0 Lord, let my sense-organs be flowers unto you; let this body be the Agallochum incense; the heart, the lamp; the vita",divine_epithet,"Pattern: se, Important: False, Confidence: 0.7"
sons,1144,0.7,roman,sons,Mixed,Name/epithet requiring verification,Unknown,Page 328,Part 9,"Bharadvaja went to the temple of Arhbika accompa- nied by those two excellent Brahmai:ias and their sons. As per advice of Bharadvaja, he served and worshipped the goddess with severe vows and observa...",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.7"
